z,u,x1,x2
-1.428,-0.515,0.000,25.000
-2.096,-0.133,0.000,25.000
-0.704,0.148,0.000,25.000
-2.741,-1.255,0.000,25.000
-0.726,0.617,0.000,25.000
-0.413,0.292,8.571,18.571
-0.625,-0.835,0.000,25.000
0.814,1.459,16.000,0.000
-0.139,1.060,8.571,18.571
0.308,0.415,8.571,18.571
-2.319,-1.462,0.000,25.000
-0.614,-0.515,0.000,25.000
-0.519,0.552,8.571,18.571
-0.027,1.211,8.571,18.571
-0.338,0.478,8.571,18.571
-1.015,1.157,0.000,25.000
-0.653,-0.322,0.000,25.000
-1.394,-1.166,0.000,25.000
-0.578,-0.818,0.000,25.000
0.198,1.322,8.571,18.571
-1.755,-0.646,0.000,25.000
-0.795,0.014,0.000,25.000
0.630,1.175,16.000,0.000
-0.897,0.771,0.000,25.000
-0.768,-0.884,0.000,25.000
-1.186,-0.429,0.000,25.000
-0.551,0.836,0.000,25.000
-2.273,-0.684,0.000,25.000
-0.106,0.698,8.571,18.571
-1.623,-0.006,0.000,25.000
-0.487,0.396,8.571,18.571
0.428,0.671,8.571,18.571
-2.200,-0.342,0.000,25.000
-1.249,0.386,0.000,25.000
-1.139,-0.547,0.000,25.000
-1.829,0.144,0.000,25.000
-1.461,0.529,0.000,25.000
1.225,2.745,16.000,0.000
-0.988,-0.177,0.000,25.000
-0.459,-0.716,8.571,18.571
-0.905,0.321,0.000,25.000
-2.238,-1.566,0.000,25.000
-0.074,0.608,8.571,18.571
-1.972,-0.764,0.000,25.000
-0.660,0.665,0.000,25.000
-1.398,0.214,0.000,25.000
-0.230,0.562,8.571,18.571
-0.165,-0.091,8.571,18.571
-1.363,-0.198,0.000,25.000
-0.931,-0.079,0.000,25.000
0.476,1.210,16.000,0.000
-0.421,0.071,8.571,18.571
-0.975,0.281,0.000,25.000
-2.845,-1.734,0.000,25.000
-1.221,-0.268,0.000,25.000
0.829,1.812,16.000,0.000
-1.836,0.722,0.000,25.000
-0.913,0.278,0.000,25.000
-0.598,-0.337,0.000,25.000
-2.322,-0.846,0.000,25.000
-1.463,-1.038,0.000,25.000
-1.888,-1.774,0.000,25.000
-2.249,0.136,0.000,25.000
0.119,0.761,8.571,18.571
-0.935,-0.254,0.000,25.000
0.449,1.493,8.571,18.571
-0.142,1.158,8.571,18.571
-0.618,1.362,0.000,25.000
-0.155,0.641,8.571,18.571
-1.383,-1.161,0.000,25.000
-1.629,0.198,0.000,25.000
0.467,1.583,16.000,0.000
-1.494,0.001,0.000,25.000
0.591,0.756,16.000,0.000
-1.589,-0.401,0.000,25.000
-1.347,-0.128,0.000,25.000
-0.428,0.719,8.571,18.571
-1.052,-0.504,0.000,25.000
-2.920,-1.620,0.000,25.000
-0.077,1.338,8.571,18.571
-0.324,1.174,8.571,18.571
-1.840,-1.359,0.000,25.000
-2.044,-0.783,0.000,25.000
-2.380,-0.180,0.000,25.000
-0.529,-0.006,8.571,18.571
0.102,0.586,8.571,18.571
-1.035,0.181,0.000,25.000
-1.524,-0.001,0.000,25.000
-1.472,0.447,0.000,25.000
-1.609,1.111,0.000,25.000
-1.323,-0.865,0.000,25.000
-0.137,1.169,8.571,18.571
-1.014,0.438,0.000,25.000
-1.426,-0.472,0.000,25.000
0.282,0.324,8.571,18.571
-0.847,0.694,0.000,25.000
-0.809,-0.597,0.000,25.000
-1.286,-0.042,0.000,25.000
-0.210,0.887,8.571,18.571
-0.694,-0.417,0.000,25.000
-1.517,-0.162,0.000,25.000
-2.361,-0.694,0.000,25.000
0.604,1.010,16.000,0.000
-1.651,-0.326,0.000,25.000
-2.707,0.730,0.000,25.000
-1.901,-0.182,0.000,25.000
-2.111,-0.699,0.000,25.000
-0.941,0.539,0.000,25.000
-0.192,0.658,8.571,18.571
-0.565,0.486,0.000,25.000
-2.605,-2.786,0.000,25.000
-1.141,-1.161,0.000,25.000
-0.897,0.792,0.000,25.000
-0.720,-0.402,0.000,25.000
-0.536,0.894,8.571,18.571
-0.376,0.761,8.571,18.571
-0.837,-0.249,0.000,25.000
-3.234,-1.833,0.000,25.000
0.862,1.980,16.000,0.000
-0.642,0.897,0.000,25.000
-0.212,0.716,8.571,18.571
-1.753,-0.205,0.000,25.000
0.244,1.033,8.571,18.571
-0.343,0.244,8.571,18.571
-2.803,-1.547,0.000,25.000
-0.094,1.486,8.571,18.571
-3.340,-1.687,0.000,25.000
0.595,1.288,16.000,0.000
-1.978,-1.426,0.000,25.000
-1.666,-0.176,0.000,25.000
-0.102,0.861,8.571,18.571
2.399,2.751,8.571,18.571
-0.366,-0.155,8.571,18.571
-2.096,-2.001,0.000,25.000
-0.624,0.459,0.000,25.000
-1.913,-1.821,0.000,25.000
-2.107,-1.100,0.000,25.000
-0.215,1.077,8.571,18.571
-0.999,-0.379,0.000,25.000
-0.944,-0.188,0.000,25.000
-1.317,0.102,0.000,25.000
-2.113,-1.896,0.000,25.000
-2.406,-2.641,0.000,25.000
-1.042,0.330,0.000,25.000
-1.070,-0.463,0.000,25.000
-0.647,0.042,0.000,25.000
-0.710,0.828,0.000,25.000
-1.120,-0.558,0.000,25.000
-1.951,-0.756,0.000,25.000
-1.970,-0.572,0.000,25.000
-0.036,0.609,8.571,18.571
-1.902,-0.516,0.000,25.000
-1.017,0.057,0.000,25.000
-2.025,-1.399,0.000,25.000
-1.455,-0.583,0.000,25.000
-1.141,0.554,0.000,25.000
-2.040,-0.526,0.000,25.000
-2.245,-1.232,0.000,25.000
-1.549,-0.745,0.000,25.000
-1.266,-0.349,0.000,25.000
